id,english_name,sanskrit_name,category,difficulty_level,target_muscles,benefits,contraindications,duration_seconds,image_asset_path,youtube_video_id,youtube_url
pose_095,Extended Plank Pose,Extended Kumbhakasana,Core,Beginner,"Abs, Arms","Improves flexibility, strengthens abs, arms, and enhances body stability.",Wrist pain,30,assets/images/poses/pose_095.png,yt_id_095,https://www.youtube.com/results?search_query=Yoga+Extended+Plank+Pose+Tutorial
pose_096,Extended Four-Limbed Staff Pose,Extended Chaturanga Dandasana,Arm Balance,Intermediate,"Triceps, Core","Improves flexibility, strengthens triceps, core, and enhances body stability.",Shoulder injury,45,assets/images/poses/pose_096.png,yt_id_096,https://www.youtube.com/results?search_query=Yoga+Extended+Four-Limbed+Staff+Pose+Tutorial
pose_097,Extended Camel Pose,Extended Ustrasana,Backbend,Intermediate,"Quads, Chest","Improves flexibility, strengthens quads, chest, and enhances body stability.",High blood pressure,45,assets/images/poses/pose_097.png,yt_id_097,https://www.youtube.com/results?search_query=Yoga+Extended+Camel+Pose+Tutorial
pose_098,Extended Pigeon Pose,Extended Eka Pada Rajakapotasana,Seated,Intermediate,"Hip Flexors, Glutes","Improves flexibility, strengthens hip flexors, glutes, and enhances body stability.",Knee tightness,45,assets/images/poses/pose_098.png,yt_id_098,https://www.youtube.com/results?search_query=Yoga+Extended+Pigeon+Pose+Tutorial
pose_099,Extended Seated Forward Bend,Extended Paschimottanasana,Seated,Beginner,"Hamstrings, Spine","Improves flexibility, strengthens hamstrings, spine, and enhances body stability.",Asthma,30,assets/images/poses/pose_099.png,yt_id_099,https://www.youtube.com/results?search_query=Yoga+Extended+Seated+Forward+Bend+Tutorial
pose_100,Extended Corpse Pose,Extended Savasana,Restorative,Beginner,Full Body,"Improves flexibility, strengthens full body, and enhances body stability.",None,30,assets/images/poses/pose_100.png,yt_id_100,https://www.youtube.com/results?search_query=Yoga+Extended+Corpse+Pose+Tutorial
pose_101,Half Downward-Facing Dog,Half Adho Mukha Svanasana,Inversion,Beginner,"Hamstrings, Calves","Improves flexibility, strengthens hamstrings, calves, and enhances body stability.",Wrist injury,30,assets/images/poses/pose_101.png,yt_id_101,https://www.youtube.com/results?search_query=Yoga+Half+Downward-Facing+Dog+Tutorial
pose_102,Half Upward-Facing Dog,Half Urdhva Mukha Svanasana,Backbend,Intermediate,"Chest, Wrists","Improves flexibility, strengthens chest, wrists, and enhances body stability.",Back injury,45,assets/images/poses/pose_102.png,yt_id_102,https://www.youtube.com/results?search_query=Yoga+Half+Upward-Facing+Dog+Tutorial
pose_103,Half Cobra Pose,Half Bhujangasana,Backbend,Beginner,"Spine, Chest","Improves flexibility, strengthens spine, chest, and enhances body stability.",Pregnancy,30,assets/images/poses/pose_103.png,yt_id_103,https://www.youtube.com/results?search_query=Yoga+Half+Cobra+Pose+Tutorial
pose_104,Half Warrior I,Half Virabhadrasana I,Standing,Beginner,"Quads, Glutes","Improves flexibility, strengthens quads, glutes, and enhances body stability.",High blood pressure,30,assets/images/poses/pose_104.png,yt_id_104,https://www.youtube.com/results?search_query=Yoga+Half+Warrior+I+Tutorial
pose_105,Half Warrior II,Half Virabhadrasana II,Standing,Beginner,"Hips, Thighs","Improves flexibility, strengthens hips, thighs, and enhances body stability.",Neck pain,30,assets/images/poses/pose_105.png,yt_id_105,https://www.youtube.com/results?search_query=Yoga+Half+Warrior+II+Tutorial
pose_106,Half Warrior III,Half Virabhadrasana III,Balancing,Intermediate,"Core, Hamstrings","Improves flexibility, strengthens core, hamstrings, and enhances body stability.",Balance issues,45,assets/images/poses/pose_106.png,yt_id_106,https://www.youtube.com/results?search_query=Yoga+Half+Warrior+III+Tutorial
pose_107,Half Tree Pose,Half Vrksasana,Balancing,Beginner,"Ankles, Calves","Improves flexibility, strengthens ankles, calves, and enhances body stability.",Dizziness,30,assets/images/poses/pose_107.png,yt_id_107,https://www.youtube.com/results?search_query=Yoga+Half+Tree+Pose+Tutorial
pose_108,Half Triangle Pose,Half Trikonasana,Standing,Beginner,"Groin, Hamstrings","Improves flexibility, strengthens groin, hamstrings, and enhances body stability.",Low blood pressure,30,assets/images/poses/pose_108.png,yt_id_108,https://www.youtube.com/results?search_query=Yoga+Half+Triangle+Pose+Tutorial
pose_109,Half Extended Side Angle,Half Utthita Parsvakonasana,Standing,Intermediate,"Waist, Hips","Improves flexibility, strengthens waist, hips, and enhances body stability.",Headache,45,assets/images/poses/pose_109.png,yt_id_109,https://www.youtube.com/results?search_query=Yoga+Half+Extended+Side+Angle+Tutorial
pose_110,Half Chair Pose,Half Utkatasana,Standing,Beginner,"Quads, Shoulders","Improves flexibility, strengthens quads, shoulders, and enhances body stability.",Insomnia,30,assets/images/poses/pose_110.png,yt_id_110,https://www.youtube.com/results?search_query=Yoga+Half+Chair+Pose+Tutorial
pose_111,Half Child's Pose,Half Balasana,Restorative,Beginner,"Lower Back, Hips","Improves flexibility, strengthens lower back, hips, and enhances body stability.",Knee injury,30,assets/images/poses/pose_111.png,yt_id_111,https://www.youtube.com/results?search_query=Yoga+Half+Child's+Pose+Tutorial
pose_112,Half Bridge Pose,Half Setu Bandha Sarvangasana,Backbend,Beginner,"Glutes, Spine","Improves flexibility, strengthens glutes, spine, and enhances body stability.",Neck injury,30,assets/images/poses/pose_112.png,yt_id_112,https://www.youtube.com/results?search_query=Yoga+Half+Bridge+Pose+Tutorial
pose_113,Half Wheel Pose,Half Urdhva Dhanurasana,Backbend,Advanced,"Shoulders, Chest","Improves flexibility, strengthens shoulders, chest, and enhances body stability.",Heart conditions,60,assets/images/poses/pose_113.png,yt_id_113,https://www.youtube.com/results?search_query=Yoga+Half+Wheel+Pose+Tutorial
pose_114,Half Crow Pose,Half Bakasana,Arm Balance,Advanced,"Wrists, Core","Improves flexibility, strengthens wrists, core, and enhances body stability.",Carpal tunnel,60,assets/images/poses/pose_114.png,yt_id_114,https://www.youtube.com/results?search_query=Yoga+Half+Crow+Pose+Tutorial
pose_115,Half Plank Pose,Half Kumbhakasana,Core,Beginner,"Abs, Arms","Improves flexibility, strengthens abs, arms, and enhances body stability.",Wrist pain,30,assets/images/poses/pose_115.png,yt_id_115,https://www.youtube.com/results?search_query=Yoga+Half+Plank+Pose+Tutorial
pose_116,Half Four-Limbed Staff Pose,Half Chaturanga Dandasana,Arm Balance,Intermediate,"Triceps, Core","Improves flexibility, strengthens triceps, core, and enhances body stability.",Shoulder injury,45,assets/images/poses/pose_116.png,yt_id_116,https://www.youtube.com/results?search_query=Yoga+Half+Four-Limbed+Staff+Pose+Tutorial
pose_117,Half Camel Pose,Half Ustrasana,Backbend,Intermediate,"Quads, Chest","Improves flexibility, strengthens quads, chest, and enhances body stability.",High blood pressure,45,assets/images/poses/pose_117.png,yt_id_117,https://www.youtube.com/results?search_query=Yoga+Half+Camel+Pose+Tutorial
pose_118,Half Pigeon Pose,Half Eka Pada Rajakapotasana,Seated,Intermediate,"Hip Flexors, Glutes","Improves flexibility, strengthens hip flexors, glutes, and enhances body stability.",Knee tightness,45,assets/images/poses/pose_118.png,yt_id_118,https://www.youtube.com/results?search_query=Yoga+Half+Pigeon+Pose+Tutorial
pose_119,Half Seated Forward Bend,Half Paschimottanasana,Seated,Beginner,"Hamstrings, Spine","Improves flexibility, strengthens hamstrings, spine, and enhances body stability.",Asthma,30,assets/images/poses/pose_119.png,yt_id_119,https://www.youtube.com/results?search_query=Yoga+Half+Seated+Forward+Bend+Tutorial
pose_120,Half Corpse Pose,Half Savasana,Restorative,Beginner,Full Body,"Improves flexibility, strengthens full body, and enhances body stability.",None,30,assets/images/poses/pose_120.png,yt_id_120,https://www.youtube.com/results?search_query=Yoga+Half+Corpse+Pose+Tutorial
pose_121,Single-Leg Downward-Facing Dog,Single-Leg Adho Mukha Svanasana,Inversion,Beginner,"Hamstrings, Calves","Improves flexibility, strengthens hamstrings, calves, and enhances body stability.",Wrist injury,30,assets/images/poses/pose_121.png,yt_id_121,https://www.youtube.com/results?search_query=Yoga+Single-Leg+Downward-Facing+Dog+Tutorial
pose_122,Single-Leg Upward-Facing Dog,Single-Leg Urdhva Mukha Svanasana,Backbend,Intermediate,"Chest, Wrists","Improves flexibility, strengthens chest, wrists, and enhances body stability.",Back injury,45,assets/images/poses/pose_122.png,yt_id_122,https://www.youtube.com/results?search_query=Yoga+Single-Leg+Upward-Facing+Dog+Tutorial
pose_123,Single-Leg Cobra Pose,Single-Leg Bhujangasana,Backbend,Beginner,"Spine, Chest","Improves flexibility, strengthens spine, chest, and enhances body stability.",Pregnancy,30,assets/images/poses/pose_123.png,yt_id_123,https://www.youtube.com/results?search_query=Yoga+Single-Leg+Cobra+Pose+Tutorial
pose_124,Single-Leg Warrior I,Single-Leg Virabhadrasana I,Standing,Beginner,"Quads, Glutes","Improves flexibility, strengthens quads, glutes, and enhances body stability.",High blood pressure,30,assets/images/poses/pose_124.png,yt_id_124,https://www.youtube.com/results?search_query=Yoga+Single-Leg+Warrior+I+Tutorial
pose_125,Single-Leg Warrior II,Single-Leg Virabhadrasana II,Standing,Beginner,"Hips, Thighs","Improves flexibility, strengthens hips, thighs, and enhances body stability.",Neck pain,30,assets/images/poses/pose_125.png,yt_id_125,https://www.youtube.com/results?search_query=Yoga+Single-Leg+Warrior+II+Tutorial
pose_126,Single-Leg Warrior III,Single-Leg Virabhadrasana III,Balancing,Intermediate,"Core, Hamstrings","Improves flexibility, strengthens core, hamstrings, and enhances body stability.",Balance issues,45,assets/images/poses/pose_126.png,yt_id_126,https://www.youtube.com/results?search_query=Yoga+Single-Leg+Warrior+III+Tutorial
pose_127,Single-Leg Tree Pose,Single-Leg Vrksasana,Balancing,Beginner,"Ankles, Calves","Improves flexibility, strengthens ankles, calves, and enhances body stability.",Dizziness,30,assets/images/poses/pose_127.png,yt_id_127,https://www.youtube.com/results?search_query=Yoga+Single-Leg+Tree+Pose+Tutorial
pose_128,Single-Leg Triangle Pose,Single-Leg Trikonasana,Standing,Beginner,"Groin, Hamstrings","Improves flexibility, strengthens groin, hamstrings, and enhances body stability.",Low blood pressure,30,assets/images/poses/pose_128.png,yt_id_128,https://www.youtube.com/results?search_query=Yoga+Single-Leg+Triangle+Pose+Tutorial
pose_129,Single-Leg Extended Side Angle,Single-Leg Utthita Parsvakonasana,Standing,Intermediate,"Waist, Hips","Improves flexibility, strengthens waist, hips, and enhances body stability.",Headache,45,assets/images/poses/pose_129.png,yt_id_129,https://www.youtube.com/results?search_query=Yoga+Single-Leg+Extended+Side+Angle+Tutorial
pose_130,Single-Leg Chair Pose,Single-Leg Utkatasana,Standing,Beginner,"Quads, Shoulders","Improves flexibility, strengthens quads, shoulders, and enhances body stability.",Insomnia,30,assets/images/poses/pose_130.png,yt_id_130,https://www.youtube.com/results?search_query=Yoga+Single-Leg+Chair+Pose+Tutorial
pose_131,Single-Leg Child's Pose,Single-Leg Balasana,Restorative,Beginner,"Lower Back, Hips","Improves flexibility, strengthens lower back, hips, and enhances body stability.",Knee injury,30,assets/images/poses/pose_131.png,yt_id_131,https://www.youtube.com/results?search_query=Yoga+Single-Leg+Child's+Pose+Tutorial
pose_132,Single-Leg Bridge Pose,Single-Leg Setu Bandha Sarvangasana,Backbend,Beginner,"Glutes, Spine","Improves flexibility, strengthens glutes, spine, and enhances body stability.",Neck injury,30,assets/images/poses/pose_132.png,yt_id_132,https://www.youtube.com/results?search_query=Yoga+Single-Leg+Bridge+Pose+Tutorial
pose_133,Single-Leg Wheel Pose,Single-Leg Urdhva Dhanurasana,Backbend,Advanced,"Shoulders, Chest","Improves flexibility, strengthens shoulders, chest, and enhances body stability.",Heart conditions,60,assets/images/poses/pose_133.png,yt_id_133,https://www.youtube.com/results?search_query=Yoga+Single-Leg+Wheel+Pose+Tutorial
pose_134,Single-Leg Crow Pose,Single-Leg Bakasana,Arm Balance,Advanced,"Wrists, Core","Improves flexibility, strengthens wrists, core, and enhances body stability.",Carpal tunnel,60,assets/images/poses/pose_134.png,yt_id_134,https://www.youtube.com/results?search_query=Yoga+Single-Leg+Crow+Pose+Tutorial
pose_135,Single-Leg Plank Pose,Single-Leg Kumbhakasana,Core,Beginner,"Abs, Arms","Improves flexibility, strengthens abs, arms, and enhances body stability.",Wrist pain,30,assets/images/poses/pose_135.png,yt_id_135,https://www.youtube.com/results?search_query=Yoga+Single-Leg+Plank+Pose+Tutorial
pose_136,Single-Leg Four-Limbed Staff Pose,Single-Leg Chaturanga Dandasana,Arm Balance,Intermediate,"Triceps, Core","Improves flexibility, strengthens triceps, core, and enhances body stability.",Shoulder injury,45,assets/images/poses/pose_136.png,yt_id_136,https://www.youtube.com/results?search_query=Yoga+Single-Leg+Four-Limbed+Staff+Pose+Tutorial
pose_137,Single-Leg Camel Pose,Single-Leg Ustrasana,Backbend,Intermediate,"Quads, Chest","Improves flexibility, strengthens quads, chest, and enhances body stability.",High blood pressure,45,assets/images/poses/pose_137.png,yt_id_137,https://www.youtube.com/results?search_query=Yoga+Single-Leg+Camel+Pose+Tutorial
pose_138,Single-Leg Pigeon Pose,Single-Leg Eka Pada Rajakapotasana,Seated,Intermediate,"Hip Flexors, Glutes","Improves flexibility, strengthens hip flexors, glutes, and enhances body stability.",Knee tightness,45,assets/images/poses/pose_138.png,yt_id_138,https://www.youtube.com/results?search_query=Yoga+Single-Leg+Pigeon+Pose+Tutorial
pose_139,Single-Leg Seated Forward Bend,Single-Leg Paschimottanasana,Seated,Beginner,"Hamstrings, Spine","Improves flexibility, strengthens hamstrings, spine, and enhances body stability.",Asthma,30,assets/images/poses/pose_139.png,yt_id_139,https://www.youtube.com/results?search_query=Yoga+Single-Leg+Seated+Forward+Bend+Tutorial
pose_140,Single-Leg Corpse Pose,Single-Leg Savasana,Restorative,Beginner,Full Body,"Improves flexibility, strengthens full body, and enhances body stability.",None,30,assets/images/poses/pose_140.png,yt_id_140,https://www.youtube.com/results?search_query=Yoga+Single-Leg+Corpse+Pose+Tutorial
pose_141,Dynamic Downward-Facing Dog,Dynamic Adho Mukha Svanasana,Inversion,Beginner,"Hamstrings, Calves","Improves flexibility, strengthens hamstrings, calves, and enhances body stability.",Wrist injury,30,assets/images/poses/pose_141.png,yt_id_141,https://www.youtube.com/results?search_query=Yoga+Dynamic+Downward-Facing+Dog+Tutorial
pose_142,Dynamic Upward-Facing Dog,Dynamic Urdhva Mukha Svanasana,Backbend,Intermediate,"Chest, Wrists","Improves flexibility, strengthens chest, wrists, and enhances body stability.",Back injury,45,assets/images/poses/pose_142.png,yt_id_142,https://www.youtube.com/results?search_query=Yoga+Dynamic+Upward-Facing+Dog+Tutorial
pose_143,Dynamic Cobra Pose,Dynamic Bhujangasana,Backbend,Beginner,"Spine, Chest","Improves flexibility, strengthens spine, chest, and enhances body stability.",Pregnancy,30,assets/images/poses/pose_143.png,yt_id_143,https://www.youtube.com/results?search_query=Yoga+Dynamic+Cobra+Pose+Tutorial
pose_144,Dynamic Warrior I,Dynamic Virabhadrasana I,Standing,Beginner,"Quads, Glutes","Improves flexibility, strengthens quads, glutes, and enhances body stability.",High blood pressure,30,assets/images/poses/pose_144.png,yt_id_144,https://www.youtube.com/results?search_query=Yoga+Dynamic+Warrior+I+Tutorial
pose_145,Dynamic Warrior II,Dynamic Virabhadrasana II,Standing,Beginner,"Hips, Thighs","Improves flexibility, strengthens hips, thighs, and enhances body stability.",Neck pain,30,assets/images/poses/pose_145.png,yt_id_145,https://www.youtube.com/results?search_query=Yoga+Dynamic+Warrior+II+Tutorial
pose_146,Dynamic Warrior III,Dynamic Virabhadrasana III,Balancing,Intermediate,"Core, Hamstrings","Improves flexibility, strengthens core, hamstrings, and enhances body stability.",Balance issues,45,assets/images/poses/pose_146.png,yt_id_146,https://www.youtube.com/results?search_query=Yoga+Dynamic+Warrior+III+Tutorial
pose_147,Dynamic Tree Pose,Dynamic Vrksasana,Balancing,Beginner,"Ankles, Calves","Improves flexibility, strengthens ankles, calves, and enhances body stability.",Dizziness,30,assets/images/poses/pose_147.png,yt_id_147,https://www.youtube.com/results?search_query=Yoga+Dynamic+Tree+Pose+Tutorial
pose_148,Dynamic Triangle Pose,Dynamic Trikonasana,Standing,Beginner,"Groin, Hamstrings","Improves flexibility, strengthens groin, hamstrings, and enhances body stability.",Low blood pressure,30,assets/images/poses/pose_148.png,yt_id_148,https://www.youtube.com/results?search_query=Yoga+Dynamic+Triangle+Pose+Tutorial
pose_149,Dynamic Extended Side Angle,Dynamic Utthita Parsvakonasana,Standing,Intermediate,"Waist, Hips","Improves flexibility, strengthens waist, hips, and enhances body stability.",Headache,45,assets/images/poses/pose_149.png,yt_id_149,https://www.youtube.com/results?search_query=Yoga+Dynamic+Extended+Side+Angle+Tutorial
pose_150,Dynamic Chair Pose,Dynamic Utkatasana,Standing,Beginner,"Quads, Shoulders","Improves flexibility, strengthens quads, shoulders, and enhances body stability.",Insomnia,30,assets/images/poses/pose_150.png,yt_id_150,https://www.youtube.com/results?search_query=Yoga+Dynamic+Chair+Pose+Tutorial
pose_151,Dynamic Child's Pose,Dynamic Balasana,Restorative,Beginner,"Lower Back, Hips","Improves flexibility, strengthens lower back, hips, and enhances body stability.",Knee injury,30,assets/images/poses/pose_151.png,yt_id_151,https://www.youtube.com/results?search_query=Yoga+Dynamic+Child's+Pose+Tutorial
pose_152,Dynamic Bridge Pose,Dynamic Setu Bandha Sarvangasana,Backbend,Beginner,"Glutes, Spine","Improves flexibility, strengthens glutes, spine, and enhances body stability.",Neck injury,30,assets/images/poses/pose_152.png,yt_id_152,https://www.youtube.com/results?search_query=Yoga+Dynamic+Bridge+Pose+Tutorial
pose_153,Dynamic Wheel Pose,Dynamic Urdhva Dhanurasana,Backbend,Advanced,"Shoulders, Chest","Improves flexibility, strengthens shoulders, chest, and enhances body stability.",Heart conditions,60,assets/images/poses/pose_153.png,yt_id_153,https://www.youtube.com/results?search_query=Yoga+Dynamic+Wheel+Pose+Tutorial
pose_154,Dynamic Crow Pose,Dynamic Bakasana,Arm Balance,Advanced,"Wrists, Core","Improves flexibility, strengthens wrists, core, and enhances body stability.",Carpal tunnel,60,assets/images/poses/pose_154.png,yt_id_154,https://www.youtube.com/results?search_query=Yoga+Dynamic+Crow+Pose+Tutorial
pose_155,Dynamic Plank Pose,Dynamic Kumbhakasana,Core,Beginner,"Abs, Arms","Improves flexibility, strengthens abs, arms, and enhances body stability.",Wrist pain,30,assets/images/poses/pose_155.png,yt_id_155,https://www.youtube.com/results?search_query=Yoga+Dynamic+Plank+Pose+Tutorial
pose_156,Dynamic Four-Limbed Staff Pose,Dynamic Chaturanga Dandasana,Arm Balance,Intermediate,"Triceps, Core","Improves flexibility, strengthens triceps, core, and enhances body stability.",Shoulder injury,45,assets/images/poses/pose_156.png,yt_id_156,https://www.youtube.com/results?search_query=Yoga+Dynamic+Four-Limbed+Staff+Pose+Tutorial
pose_157,Dynamic Camel Pose,Dynamic Ustrasana,Backbend,Intermediate,"Quads, Chest","Improves flexibility, strengthens quads, chest, and enhances body stability.",High blood pressure,45,assets/images/poses/pose_157.png,yt_id_157,https://www.youtube.com/results?search_query=Yoga+Dynamic+Camel+Pose+Tutorial
pose_158,Dynamic Pigeon Pose,Dynamic Eka Pada Rajakapotasana,Seated,Intermediate,"Hip Flexors, Glutes","Improves flexibility, strengthens hip flexors, glutes, and enhances body stability.",Knee tightness,45,assets/images/poses/pose_158.png,yt_id_158,https://www.youtube.com/results?search_query=Yoga+Dynamic+Pigeon+Pose+Tutorial
pose_159,Dynamic Seated Forward Bend,Dynamic Paschimottanasana,Seated,Beginner,"Hamstrings, Spine","Improves flexibility, strengthens hamstrings, spine, and enhances body stability.",Asthma,30,assets/images/poses/pose_159.png,yt_id_159,https://www.youtube.com/results?search_query=Yoga+Dynamic+Seated+Forward+Bend+Tutorial
pose_160,Dynamic Corpse Pose,Dynamic Savasana,Restorative,Beginner,Full Body,"Improves flexibility, strengthens full body, and enhances body stability.",None,30,assets/images/poses/pose_160.png,yt_id_160,https://www.youtube.com/results?search_query=Yoga+Dynamic+Corpse+Pose+Tutorial
pose_161,Floating Downward-Facing Dog,Floating Adho Mukha Svanasana,Inversion,Beginner,"Hamstrings, Calves","Improves flexibility, strengthens hamstrings, calves, and enhances body stability.",Wrist injury,30,assets/images/poses/pose_161.png,yt_id_161,https://www.youtube.com/results?search_query=Yoga+Floating+Downward-Facing+Dog+Tutorial
pose_162,Floating Upward-Facing Dog,Floating Urdhva Mukha Svanasana,Backbend,Intermediate,"Chest, Wrists","Improves flexibility, strengthens chest, wrists, and enhances body stability.",Back injury,45,assets/images/poses/pose_162.png,yt_id_162,https://www.youtube.com/results?search_query=Yoga+Floating+Upward-Facing+Dog+Tutorial
pose_163,Floating Cobra Pose,Floating Bhujangasana,Backbend,Beginner,"Spine, Chest","Improves flexibility, strengthens spine, chest, and enhances body stability.",Pregnancy,30,assets/images/poses/pose_163.png,yt_id_163,https://www.youtube.com/results?search_query=Yoga+Floating+Cobra+Pose+Tutorial
pose_164,Floating Warrior I,Floating Virabhadrasana I,Standing,Beginner,"Quads, Glutes","Improves flexibility, strengthens quads, glutes, and enhances body stability.",High blood pressure,30,assets/images/poses/pose_164.png,yt_id_164,https://www.youtube.com/results?search_query=Yoga+Floating+Warrior+I+Tutorial
pose_165,Floating Warrior II,Floating Virabhadrasana II,Standing,Beginner,"Hips, Thighs","Improves flexibility, strengthens hips, thighs, and enhances body stability.",Neck pain,30,assets/images/poses/pose_165.png,yt_id_165,https://www.youtube.com/results?search_query=Yoga+Floating+Warrior+II+Tutorial
pose_166,Floating Warrior III,Floating Virabhadrasana III,Balancing,Intermediate,"Core, Hamstrings","Improves flexibility, strengthens core, hamstrings, and enhances body stability.",Balance issues,45,assets/images/poses/pose_166.png,yt_id_166,https://www.youtube.com/results?search_query=Yoga+Floating+Warrior+III+Tutorial
pose_167,Floating Tree Pose,Floating Vrksasana,Balancing,Beginner,"Ankles, Calves","Improves flexibility, strengthens ankles, calves, and enhances body stability.",Dizziness,30,assets/images/poses/pose_167.png,yt_id_167,https://www.youtube.com/results?search_query=Yoga+Floating+Tree+Pose+Tutorial
pose_168,Floating Triangle Pose,Floating Trikonasana,Standing,Beginner,"Groin, Hamstrings","Improves flexibility, strengthens groin, hamstrings, and enhances body stability.",Low blood pressure,30,assets/images/poses/pose_168.png,yt_id_168,https://www.youtube.com/results?search_query=Yoga+Floating+Triangle+Pose+Tutorial
pose_169,Floating Extended Side Angle,Floating Utthita Parsvakonasana,Standing,Intermediate,"Waist, Hips","Improves flexibility, strengthens waist, hips, and enhances body stability.",Headache,45,assets/images/poses/pose_169.png,yt_id_169,https://www.youtube.com/results?search_query=Yoga+Floating+Extended+Side+Angle+Tutorial
pose_170,Floating Chair Pose,Floating Utkatasana,Standing,Beginner,"Quads, Shoulders","Improves flexibility, strengthens quads, shoulders, and enhances body stability.",Insomnia,30,assets/images/poses/pose_170.png,yt_id_170,https://www.youtube.com/results?search_query=Yoga+Floating+Chair+Pose+Tutorial
pose_171,Floating Child's Pose,Floating Balasana,Restorative,Beginner,"Lower Back, Hips","Improves flexibility, strengthens lower back, hips, and enhances body stability.",Knee injury,30,assets/images/poses/pose_171.png,yt_id_171,https://www.youtube.com/results?search_query=Yoga+Floating+Child's+Pose+Tutorial
pose_172,Floating Bridge Pose,Floating Setu Bandha Sarvangasana,Backbend,Beginner,"Glutes, Spine","Improves flexibility, strengthens glutes, spine, and enhances body stability.",Neck injury,30,assets/images/poses/pose_172.png,yt_id_172,https://www.youtube.com/results?search_query=Yoga+Floating+Bridge+Pose+Tutorial
pose_173,Floating Wheel Pose,Floating Urdhva Dhanurasana,Backbend,Advanced,"Shoulders, Chest","Improves flexibility, strengthens shoulders, chest, and enhances body stability.",Heart conditions,60,assets/images/poses/pose_173.png,yt_id_173,https://www.youtube.com/results?search_query=Yoga+Floating+Wheel+Pose+Tutorial
pose_174,Floating Crow Pose,Floating Bakasana,Arm Balance,Advanced,"Wrists, Core","Improves flexibility, strengthens wrists, core, and enhances body stability.",Carpal tunnel,60,assets/images/poses/pose_174.png,yt_id_174,https://www.youtube.com/results?search_query=Yoga+Floating+Crow+Pose+Tutorial
pose_175,Floating Plank Pose,Floating Kumbhakasana,Core,Beginner,"Abs, Arms","Improves flexibility, strengthens abs, arms, and enhances body stability.",Wrist pain,30,assets/images/poses/pose_175.png,yt_id_175,https://www.youtube.com/results?search_query=Yoga+Floating+Plank+Pose+Tutorial
pose_176,Floating Four-Limbed Staff Pose,Floating Chaturanga Dandasana,Arm Balance,Intermediate,"Triceps, Core","Improves flexibility, strengthens triceps, core, and enhances body stability.",Shoulder injury,45,assets/images/poses/pose_176.png,yt_id_176,https://www.youtube.com/results?search_query=Yoga+Floating+Four-Limbed+Staff+Pose+Tutorial
pose_177,Floating Camel Pose,Floating Ustrasana,Backbend,Intermediate,"Quads, Chest","Improves flexibility, strengthens quads, chest, and enhances body stability.",High blood pressure,45,assets/images/poses/pose_177.png,yt_id_177,https://www.youtube.com/results?search_query=Yoga+Floating+Camel+Pose+Tutorial
pose_178,Floating Pigeon Pose,Floating Eka Pada Rajakapotasana,Seated,Intermediate,"Hip Flexors, Glutes","Improves flexibility, strengthens hip flexors, glutes, and enhances body stability.",Knee tightness,45,assets/images/poses/pose_178.png,yt_id_178,https://www.youtube.com/results?search_query=Yoga+Floating+Pigeon+Pose+Tutorial
pose_179,Floating Seated Forward Bend,Floating Paschimottanasana,Seated,Beginner,"Hamstrings, Spine","Improves flexibility, strengthens hamstrings, spine, and enhances body stability.",Asthma,30,assets/images/poses/pose_179.png,yt_id_179,https://www.youtube.com/results?search_query=Yoga+Floating+Seated+Forward+Bend+Tutorial
pose_180,Floating Corpse Pose,Floating Savasana,Restorative,Beginner,Full Body,"Improves flexibility, strengthens full body, and enhances body stability.",None,30,assets/images/poses/pose_180.png,yt_id_180,https://www.youtube.com/results?search_query=Yoga+Floating+Corpse+Pose+Tutorial
pose_181,Restorative Downward-Facing Dog,Restorative Adho Mukha Svanasana,Inversion,Beginner,"Hamstrings, Calves","Improves flexibility, strengthens hamstrings, calves, and enhances body stability.",Wrist injury,30,assets/images/poses/pose_181.png,yt_id_181,https://www.youtube.com/results?search_query=Yoga+Restorative+Downward-Facing+Dog+Tutorial
pose_182,Restorative Upward-Facing Dog,Restorative Urdhva Mukha Svanasana,Backbend,Intermediate,"Chest, Wrists","Improves flexibility, strengthens chest, wrists, and enhances body stability.",Back injury,45,assets/images/poses/pose_182.png,yt_id_182,https://www.youtube.com/results?search_query=Yoga+Restorative+Upward-Facing+Dog+Tutorial
pose_183,Restorative Cobra Pose,Restorative Bhujangasana,Backbend,Beginner,"Spine, Chest","Improves flexibility, strengthens spine, chest, and enhances body stability.",Pregnancy,30,assets/images/poses/pose_183.png,yt_id_183,https://www.youtube.com/results?search_query=Yoga+Restorative+Cobra+Pose+Tutorial
pose_184,Restorative Warrior I,Restorative Virabhadrasana I,Standing,Beginner,"Quads, Glutes","Improves flexibility, strengthens quads, glutes, and enhances body stability.",High blood pressure,30,assets/images/poses/pose_184.png,yt_id_184,https://www.youtube.com/results?search_query=Yoga+Restorative+Warrior+I+Tutorial
pose_185,Restorative Warrior II,Restorative Virabhadrasana II,Standing,Beginner,"Hips, Thighs","Improves flexibility, strengthens hips, thighs, and enhances body stability.",Neck pain,30,assets/images/poses/pose_185.png,yt_id_185,https://www.youtube.com/results?search_query=Yoga+Restorative+Warrior+II+Tutorial
pose_186,Restorative Warrior III,Restorative Virabhadrasana III,Balancing,Intermediate,"Core, Hamstrings","Improves flexibility, strengthens core, hamstrings, and enhances body stability.",Balance issues,45,assets/images/poses/pose_186.png,yt_id_186,https://www.youtube.com/results?search_query=Yoga+Restorative+Warrior+III+Tutorial
